-- Estrutura: pessoa_id,agencia,conta,banco,id
9297,34925,91402192,807250,1
5484,14949,85265393,869024,2
3074,12159,71316179,465259,3
5080,6851,61345633,206717,4
809,61869,38175473,542001,5
8079,77075,99894128,809820,6
8410,37095,87755696,785574,7
4137,44450,30104484,513803,8
1770,20309,62831491,833733,9
909,27165,86997141,679691,10
5183,82943,14613961,403334,11
207,35709,86931797,536749,12
5885,9049,65329360,32719,13
1297,60503,48755133,158945,14
3503,10411,96629066,177478,15
2721,6692,45596383,862854,16
8213,19904,28907096,304944,17
4406,77928,11682402,809241,18
7488,70137,2474065,978523,19
6256,59560,78937051,483909,20
5018,34067,19800188,323184,21
7916,26755,38478497,571942,22
7161,46895,48400056,986769,23
3054,69234,40828759,451431,24
3741,28233,58247704,821645,25
689,56422,9714352,809172,26
9746,84365,28464227,428328,27
5814,50845,53388785,754701,28
3150,48234,67605991,931390,29
8698,13218,7229423,553772,30
8149,71633,58929211,971652,31
2959,12907,50439156,56523,32
2938,57222,60488471,343240,33
136,96748,41575027,937548,34
2446,38793,34926705,947925,35
9837,95576,99057211,207652,36
9355,72872,67216664,823056,37
167,47623,58209081,241904,38
2111,2824,781126,352471,39
9753,12449,51384870,845569,40
3398,22732,13554402,9157,41
9040,19013,74139567,347478,42
673,73814,68720650,481868,43
7836,12334,57054721,859165,44
7258,38118,3713724,567140,45
4573,68077,4094042,817506,46
9905,36254,13313205,985352,47
9607,6263,96219841,120047,48
8746,50297,60853563,756378,49
8212,98139,30441344,745457,50
9876,32432,75608512,278499,51
7894,9976,45887497,87737,52
4582,14754,62710993,594209,53
885,94615,38898070,659042,54
1875,31707,1964784,541471,55
580,75574,38737737,4615,56
7760,56681,60767657,280658,57
5152,81368,3904454,744370,58
776,29061,57999059,132946,59
9249,76136,2920716,890840,60
9042,4444,52770747,813240,61
4359,36794,3270284,928460,62
1147,94904,56940776,504114,63
9628,76216,68784447,231862,64
9376,75119,50305869,222568,65
4925,17762,57297569,644480,66
1096,88231,51720281,797811,67
3667,25536,73436952,426076,68
2890,12772,63760647,13530,69
2286,57345,56915951,408046,70
5352,67877,16691260,566178,71
2448,53386,78176509,315375,72
6031,34766,19621204,173770,73
2589,80555,39899292,726652,74
4719,88269,70400387,553609,75
8512,23382,56230365,859315,76
2150,14286,21603890,835131,77
1250,67396,439667,364172,78
1826,9446,68772997,813737,79
117,633,40038548,575705,80
1008,20129,19559587,18983,81
601,56030,16813288,483388,82
7294,91054,54210870,345871,83
8697,1508,55725841,301370,84
1170,30667,35191673,101909,85
3187,94638,19130961,929142,86
3444,83113,99126013,164409,87
1182,58458,71534042,465608,88
4830,12797,45341509,649990,89
392,54283,79950203,654678,90
9756,73177,10673447,214415,91
1324,65741,49495365,167448,92
5377,38601,69711230,704959,93
6551,29781,25783703,154412,94
109,26556,67497219,228892,95
5690,280,36591690,144805,96
1956,7599,86304007,741810,97
5623,90676,26307574,574128,98
5074,69651,12723434,586915,99
8406,97598,79700105,686953,100
3368,82379,62713074,732163,101
8878,1007,81069319,185174,102
8709,29839,63951100,773555,103
8682,57038,8664048,972846,104
3666,96092,1997799,56378,105
7945,75257,60562326,630917,106
1238,12265,19846101,958607,107
1716,67009,31452556,34885,108
4688,98764,89225818,745251,109
3761,63304,25781933,185463,110
2655,67771,87099702,263869,111
2677,48870,70623188,937002,112
6109,15342,22121498,879712,113
9571,74039,89254299,584172,114
2186,99578,60884287,765163,115
8125,85186,1472354,200862,116
9846,60422,30554609,880565,117
6782,34037,59721263,733519,118
7039,83341,79110150,116817,119
8817,34131,36395964,635056,120
4168,26057,34844069,18130,121
4498,43405,7880213,728384,122
953,30796,52716039,380284,123
247,49182,37366473,413634,124
6641,66998,28003799,663440,125
1840,82533,25957828,270520,126
5566,48682,17668689,123683,127
9495,77560,70277663,877301,128
6325,97334,34914635,551928,129
5042,99548,75139099,550581,130
5264,57638,78557190,370283,131
8137,21648,70920348,212113,132
4605,37723,45333799,211735,133
621,69980,45174032,591403,134
19,7720,46207597,962917,135
2583,95408,77910143,319626,136
6055,64932,74801814,51289,137
1434,82103,90957679,668588,138
9188,72865,13795175,607536,139
401,88846,45738564,340171,140
7779,96364,66359940,572293,141
3229,49071,81542860,932733,142
5222,75701,55061696,426962,143
5340,78819,29308951,572352,144
7975,46570,76502549,164406,145
4687,65758,6974017,639417,146
4678,78413,29364365,333423,147
5628,84358,55189666,113340,148
6204,12131,18587452,294620,149
2909,20656,99675259,114809,150
8341,81499,52959106,386388,151
2709,48251,13552963,130681,152
4364,56463,81021494,574297,153
1237,29238,87157154,120358,154
8949,2381,10553012,538735,155
1979,48180,37061575,678626,156
2057,43677,80676351,412714,157
6032,99767,28228101,590971,158
4690,64995,33104032,653739,159
1286,68231,36919691,985243,160
6496,16218,89718563,998177,161
336,97709,98964443,328037,162
2499,6462,40033418,267062,163
1021,45801,91704792,352309,164
4451,85043,18167754,834144,165
6759,72184,52797858,438669,166
2832,21903,10633367,473751,167
9620,21769,99184283,212636,168
6553,11929,88928542,35676,169
5847,37173,64543226,228521,170
4471,47851,16376681,538615,171
5980,1443,48951265,10945,172
7330,97797,20953089,278083,173
5015,53434,31004680,927718,174
6347,45840,71533745,814556,175
8717,51588,36666124,32189,176
728,18703,61218132,982735,177
5688,88127,76783881,73351,178
2054,95223,38768245,197454,179
5590,98882,84083032,268737,180
7301,9440,74103958,984092,181
91,71374,71140683,120963,182
8100,96143,40161799,126327,183
6567,83047,35747442,931261,184
1126,13065,46643193,410984,185
4027,50620,44271382,851719,186
2104,13530,7371100,549303,187
1474,11183,36940375,645885,188
6177,44628,8548680,777365,189
7751,38186,2423581,359027,190
4759,49078,17364436,607408,191
4803,64125,41728236,374922,192
5955,45573,8591599,428368,193
5230,42967,86621564,223879,194
6523,88902,77393856,873735,195
6411,16178,97364333,698185,196
5927,75506,50912363,210433,197
7460,57939,15707045,730690,198
1075,10681,93511110,911882,199
3335,83467,37209117,569152,200
7186,69775,95386735,691609,201
270,94032,12386144,188080,202
5802,86058,12603750,886097,203
6082,14942,71827065,314163,204
5172,47454,1576269,725260,205
1327,20620,62932295,16094,206
2996,35421,32162532,416187,207
